size (sq ft),bedrooms,bathrooms,location,year_built,price
1200,3,2,downtown,1998,300000
1500,4,3,uptown,2005,450000
800,2,1,suburbs,1985,200000
2000,5,4,uptown,2010,550000
1300,3,2,downtown,2000,325000
1800,4,3,suburbs,2008,375000
950,2,1,suburbs,1990,180000
2200,5,4,uptown,2012,600000
1050,2,1.5,downtown,1995,250000
1600,3,2,uptown,2003,400000
1350,3,2,suburbs,1999,320000
2500,6,5,uptown,2015,700000
1750,4,3,downtown,2007,460000
1450,3,2,suburbs,2001,350000
900,2,1,downtown,1992,220000
2100,5,3,suburbs,2009,480000
1700,4,3,uptown,2006,425000
800,1,1,suburbs,1988,150000
1950,4,3,uptown,2011,530000
1400,3,2,downtown,2002,310000
